time,seconds_elapsed,z,y,x
1761469511252014800,0.063014892578125,-0.17551951110363007,-0.03522615134716034,0.14974641799926758
1761469511261969000,0.072968994140625,-0.18627363443374634,-0.0305312629789114,0.11610962450504303
1761469511271923700,0.082923828125,-0.20250491797924042,-0.024494701996445656,0.07380718737840652
1761469511281878800,0.092878662109375,-0.2327059656381607,-0.01705010235309601,0.026292400434613228
1761469511291833900,0.102833740234375,-0.27085280418395996,-0.008693522773683071,-0.01480864081531763
1761469511301788000,0.112787841796875,-0.31066465377807617,-0.0003682145616039634,-0.05007927864789963
1761469511311742700,0.12274267578125,-0.34254634380340576,0.005732676945626736,-0.0820106789469719
1761469511321697800,0.13269775390625,-0.36752307415008545,0.013630812987685204,-0.1014738604426384
1761469511331652900,0.14265283203125,-0.38396385312080383,0.048987891525030136,-0.09665705263614655
1761469511341607000,0.15260693359375,-0.38955169916152954,0.10362344235181808,-0.08809952437877655
1761469511351561700,0.162561767578125,-0.3822092115879059,0.15416552126407623,-0.08844918012619019
1761469511361516800,0.172516845703125,-0.3707919716835022,0.20019187033176422,-0.09806745499372482
1761469511371472000,0.182471923828125,-0.3505217730998993,0.22958557307720184,-0.10263087600469589
1761469511381426000,0.192426025390625,-0.32684680819511414,0.23697584867477417,-0.09350555390119553
1761469511391380700,0.202380615234375,-0.2923111617565155,0.22792766988277435,-0.06948056817054749
1761469511401335800,0.212335693359375,-0.2568724751472473,0.21442118287086487,-0.03587626293301582
1761469511411291000,0.222290771484375,-0.21993640065193176,0.1805519163608551,0.0016943237278610468
1761469511421245000,0.232244873046875,-0.1885150969028473,0.12915371358394623,0.039439305663108826
1761469511431199700,0.24219970703125,-0.1701045036315918,0.06004966050386429,0.07279543578624725
1761469511441154800,0.25215478515625,-0.16114376485347748,0.02792794443666935,0.1006731390953064
1761469511451110000,0.26210986328125,-0.1585763692855835,0.05295614153146744,0.11587948352098465
1761469511461064000,0.27206396484375,-0.14462220668792725,0.10614719241857529,0.10824686288833618
1761469511471018800,0.282018798828125,-0.11702723801136017,0.15761737525463104,0.08026149868965149
1761469511480973800,0.291973876953125,-0.08792341500520706,0.17441819608211517,0.0410483181476593
1761469511490929000,0.301928955078125,-0.055772121995687485,0.1571308672428131,0.0025193290784955025
1761469511500883700,0.3118837890625,-0.03263084962964058,0.1331845223903656,-0.021567098796367645
1761469511510837800,0.321837646484375,-0.024987420067191124,0.08918285369873047,-0.025741562247276306
1761469511520792800,0.331792724609375,-0.035214755684137344,0.025411332026124,-0.016403986141085625
1761469511530748000,0.341747802734375,-0.0514008030295372,-0.04746769741177559,0.004024014808237553
1761469511540702700,0.35170263671875,-0.0728624239563942,-0.11513782292604446,0.03815482184290886
1761469511550656800,0.36165673828125,-0.09892354160547256,-0.1645117998123169,0.07188037782907486
1761469511560611800,0.37161181640625,-0.1339361071586609,-0.17400836944580078,0.08766786009073257
1761469511570567000,0.38156689453125,-0.15860731899738312,-0.1492988020181656,0.08277521282434464
1761469511580521700,0.391521728515625,-0.17672400176525116,-0.1048961952328682,0.056789152324199677
1761469511590475800,0.401475830078125,-0.18580037355422974,-0.0743805319070816,0.01803208887577057
1761469511600430800,0.411430908203125,-0.18754154443740845,-0.060723040252923965,-0.02842675894498825
1761469511610386000,0.421385986328125,-0.19493956863880157,-0.05446008965373039,-0.06346176564693451
1761469511620340700,0.4313408203125,-0.20732034742832184,-0.0617840476334095,-0.0812159925699234
1761469511630294800,0.441294677734375,-0.22084763646125793,-0.06667580455541611,-0.07992497831583023
1761469511640249900,0.451249755859375,-0.23528143763542175,-0.07769250124692917,-0.0646916925907135
1761469511650205000,0.461204833984375,-0.253047913312912,-0.09196629375219345,-0.04980539530515671
1761469511660159700,0.47115966796875,-0.2692018449306488,-0.09708089381456375,-0.0426177904009819
1761469511670113800,0.48111376953125,-0.2842572331428528,-0.08704312890768051,-0.04611321911215782
1761469511680068600,0.491068603515625,-0.28719362616539,-0.07560645043849945,-0.056062519550323486
1761469511690024000,0.50102392578125,-0.2872350811958313,-0.055359795689582825,-0.07287270575761795
1761469511699978800,0.510978759765625,-0.28582626581192017,-0.06778211891651154,-0.08586839586496353
1761469511709932800,0.520932861328125,-0.28493571281433105,-0.10068292170763016,-0.08958941698074341
1761469511719887600,0.5308876953125,-0.2880423069000244,-0.1492493897676468,-0.08872948586940765
1761469511729843000,0.540843017578125,-0.29074764251708984,-0.2072998285293579,-0.0891166403889656
1761469511739797800,0.5507978515625,-0.29633790254592896,-0.2603670358657837,-0.08783911913633347
1761469511749751800,0.560751708984375,-0.3073533773422241,-0.29178085923194885,-0.08782229572534561
1761469511759706600,0.57070654296875,-0.3174363672733307,-0.29518648982048035,-0.08413248509168625
1761469511769662000,0.580661865234375,-0.32310572266578674,-0.2836966812610626,-0.07389988750219345
1761469511779616800,0.59061669921875,-0.32924535870552063,-0.26884183287620544,-0.061751339584589005
1761469511789570800,0.60057080078125,-0.32572174072265625,-0.25288888812065125,-0.046104706823825836
1761469511799525600,0.610525634765625,-0.313675194978714,-0.23650220036506653,-0.03157343715429306
