time,seconds_elapsed,z,y,x
1761469390164179200,0.05717919921875,0.8542600370764731,0.004132569760084152,0.4517282340262085
1761469390174134000,0.067134033203125,0.7769593552529811,-0.09504384378492832,0.23632735109943895
1761469390184088800,0.0770888671875,0.7335323014587164,-0.057443304187059396,0.08866948644742369
1761469390194044200,0.087044189453125,0.6933651262432337,0.007291326051950454,0.059638439611159264
1761469390204000000,0.097,0.6066442896455526,0.09150748635232447,0.13354980778992176
1761469390213954800,0.106954833984375,0.7170791793078184,-0.00976326912343502,0.09255597249194979
1761469390223910100,0.11691015625,0.5940916820645332,-0.22540040849149226,-0.1778743218805641
1761469390233865000,0.126864990234375,0.34552433299720287,-0.22260639385879039,-0.42937151385471223
1761469390243820000,0.136820068359375,0.17803543072640896,-0.317453838288784,-0.5311697638032957
1761469390253775000,0.146775146484375,-0.04438274708390236,-0.1495598623484373,-0.5476205113340169
1761469390263730200,0.156730224609375,-0.3472562713563442,0.23435528384149074,-0.23920747311301527
1761469390273685000,0.16668505859375,-0.6042874973863362,0.49165422089695926,0.2540840301295742
1761469390283639800,0.176639892578125,-0.648005643081665,0.6089420451939106,0.5021908490130678
1761469390293595100,0.18659521484375,-0.479438882446289,0.6011480303168296,0.5718222748503089
1761469390303550000,0.196550048828125,-0.27511048807799815,0.6051286243855953,0.5096261135803535
1761469390313505000,0.206505126953125,-0.25555238564908506,0.6168120479166508,0.4495132979230955
1761469390323460000,0.216460205078125,-0.33454876547455786,0.6005734452992677,0.323818624080345
1761469390333415000,0.226414794921875,-0.15972645157575607,0.6481961972177028,0.00937927477452904
1761469390343370000,0.236369873046875,0.03642272799015045,0.39177930369377134,-0.09441161029599607
1761469390353325000,0.246324951171875,0.18185352770984173,-0.06309095468521118,0.042862222985737025
1761469390363280100,0.256280029296875,0.36669571584165095,-0.1262760173946619,-0.0496014681128785
1761469390373235000,0.26623486328125,0.39786534560918807,0.030738837134838104,-0.2535390000000596
1761469390383190000,0.27618994140625,0.27698095812499524,0.012402385455369948,-0.22888375709522515
1761469390393145000,0.28614501953125,0.31798750677406784,0.08843757738769054,0.01424856131132692
1761469390403100000,0.296099853515625,0.40721594227850433,0.33088615131378174,0.22348975256457923
1761469390413055000,0.306054931640625,0.4572206208974123,0.4830523967683315,0.5050433158347383
1761469390423010000,0.316010009765625,0.8465326576948166,0.7839712798416614,-0.6422218720484525
1761469390432965000,0.325965087890625,0.32087212229967116,1.296332188680768,-1.252767187720537
1761469390442921000,0.3359208984375,-0.13002397175133226,1.3539753993541002,-1.020622492600605
1761469390452876000,0.3458759765625,-0.3875473652124405,1.1367553747087717,-1.2505845829844473
1761469390462831000,0.3558310546875,-0.6019020635545254,0.8840735760599374,-1.32100251955688
1761469390472786000,0.365785888671875,-0.7220809331178665,0.6112643506616353,-1.3071829607799648
1761469390482741000,0.375740966796875,-0.7125655012756585,0.39952188064455985,-1.4373989479720592
1761469390492696000,0.385696044921875,-0.6444762999117374,0.3369827146232128,-1.3496465763695538
1761469390502651000,0.39565087890625,-0.5134299993753433,0.3666635671377182,-1.0439539030231535
1761469390512606000,0.40560595703125,-0.43598552516698835,0.2792687768012285,-1.0852148648247122
1761469390522561000,0.41556103515625,-0.37725335021317,0.2249848134279251,-1.1262166642334313
1761469390532516000,0.42551611328125,-0.26493630006611346,0.2650350842654705,-1.204786416144669
1761469390542471000,0.435470947265625,-0.11045359436273575,0.3143704853206873,-1.2545486643098294
1761469390552426000,0.445426025390625,0.07287117494344711,0.31843115888834,-1.408444656166434
1761469390562381000,0.455381103515625,0.160438983759284,0.25150398704111576,-1.2101010352961719
1761469390572335900,0.4653359375,0.22134791823029518,-0.11255728864371776,-0.739835639386624
1761469390582291200,0.475291259765625,0.42062253634035585,-0.3839677531599998,-0.3631231180518865
1761469390592246000,0.48524609375,0.4627624729335308,-0.42924072708189487,0.301261668629013
1761469390602201000,0.495201171875,0.3967360493183136,-0.40371699424684043,0.9494282378934323
1761469390612156000,0.505156005859375,0.4532967254519462,-0.4061924444496631,1.483664440062642
1761469390622111000,0.515111083984375,0.567888734793663,-0.478722843131423,1.9495612654991448
1761469390632066000,0.525066162109375,0.48689621271491046,-0.7380132462650537,2.4619918785735964
1761469390642020900,0.535020751953125,0.29977555825710295,-1.1095417890906334,2.680157367375493
1761469390651976200,0.54497607421875,0.4113011657655239,-1.5351725089818238,2.941395397445559
1761469390661931000,0.554930908203125,0.7300625795215367,-1.1126999608606098,2.0660687530733646
1761469390671886800,0.564886962890625,1.1330816546320914,-0.5857563999176025,-0.11355864770598709
1761469390681842200,0.57484228515625,0.6875532250940799,-0.582868277260661,-0.6141724201280623
1761469390691797000,0.584796875,0.36516602205634113,-0.3510521565079689,-0.5982873071234673
1761469390701752000,0.594751953125,-0.13403788356781005,-0.40655893967449663,-1.1177079982809721
1761469390711707100,0.60470703125,-1.2085977911263703,-0.389118560051918,-1.0934790544968098
1761469390721662000,0.614661865234375,-1.543730493968725,0.03007365122437477,-0.8217830510374158
1761469390731617000,0.624616943359375,-1.1133306599795818,0.16639759990274905,-0.7778215981055051
1761469390741571800,0.63457177734375,-1.466954128280282,0.11377367869615554,-0.5225754288613796
1761469390751527200,0.644527099609375,-1.4512942023336886,0.12548165214657783,-0.10482355258651077
1761469390761482000,0.65448193359375,-1.2338567355453967,0.04572890099585056,0.21051555857062337
1761469390771437000,0.66443701171875,-0.9653723876088857,-0.18471067070662975,0.21862302331104874
1761469390781392100,0.67439208984375,-0.3304986133009195,0.27740707458257674,0.5351129850037396
