time,seconds_elapsed,z,y,x
1761507743716353500,0.074353515625,0.02989946370124817,-0.0552520046878606,0.14318339525223708
1761507743726325200,0.0843251953125,0.012381927189230918,-0.0829440945379436,0.1153333383614663
1761507743736297500,0.09429736328125,-0.008162263667583465,-0.12373619671873748,0.07892367078228853
1761507743746269400,0.10426953125,0.001861117696762085,-0.1360426475189626,0.03668279456528835
1761507743756241400,0.114241455078125,0.01414601425230503,-0.12887319428101182,0.001995288303331472
1761507743766213400,0.12421337890625,0.05215981082618236,-0.10537877531647681,0.0006355899232206866
1761507743776185300,0.134185302734375,0.07258943539261818,-0.07369754276499152,0.023636179222515784
1761507743786157300,0.1441572265625,0.05405424627065658,-0.04467369285449385,0.05832459423334803
1761507743796129500,0.154129638671875,0.028543957439064977,-0.01194981938228011,0.08520399316078983
1761507743806101200,0.164101318359375,0.014179916521906852,0.02096373144313693,0.08904919734685682
1761507743816073500,0.174073486328125,0.004466331759095192,0.04915463766083121,0.10581600682311691
1761507743826045200,0.184045166015625,0.010377017107605933,0.06582271773666143,0.1360684943462722
1761507743836017400,0.194017333984375,0.024787819775938986,0.08072481105327606,0.15762673935014754
1761507743845989400,0.2039892578125,0.036083120772242544,0.10591361284554004,0.22069701657351104
1761507743855961300,0.21396142578125,0.06405541580319404,0.13974310947209595,0.27888140318514776
1761507743865933300,0.223933349609375,0.06737140848338603,0.1796620090149343,0.261483602328971
1761507743875905300,0.2339052734375,0.07076455805301665,0.17182517790943383,0.2063508218402974
1761507743885877200,0.243877197265625,0.10368950705528258,0.18608502779975533,0.18219961946746333
1761507743895849500,0.253849365234375,0.13993161778151988,0.14321750758439303,0.15855116071868686
1761507743905821400,0.263821533203125,0.14488193366527558,0.10586758174672722,0.19584248823691158
1761507743915793400,0.27379345703125,0.1675929471671581,0.10675298627912998,0.27869042892400175
1761507743925765400,0.283765380859375,0.18054127606749534,0.09578341010585427,0.360512204901129
1761507743935737300,0.2937373046875,0.199460496070981,0.11615677444040774,0.3876400484645739
1761507743945709600,0.30370947265625,0.21114742673337458,0.12468100328817963,0.3713233025770634
1761507743955681300,0.313681396484375,0.16944295894801617,0.10924641053006053,0.3615102029625326
1761507743965653500,0.323653564453125,0.097401805087924,0.10333455613777041,0.3492566513933241
1761507743975625200,0.333625244140625,0.03866495395898819,0.11883534599989652,0.31570275683775545
1761507743985597400,0.343597412109375,0.0008323591709136962,0.13611118271052836,0.2526596233496442
1761507743995569400,0.3535693359375,-0.003466799327731132,0.14093056569099424,0.2214219150482677
1761507744005541400,0.363541259765625,-0.026777532288432118,0.1227946050196886,0.20517591457571832
1761507744015513300,0.373513427734375,-0.052231122496724125,0.08944631603881716,0.17645941358134148
1761507744025485300,0.3834853515625,-0.07913374246954917,0.05639072639420628,0.14022961434740572
1761507744035457300,0.393457275390625,-0.11550152540206908,0.03492971295341849,0.12364647260867058
1761507744045429500,0.403429443359375,-0.13239070088267327,0.019280162270367145,0.12799736129455266
1761507744055401200,0.413401123046875,-0.14733575655817985,0.010414572639018297,0.15987075541727244
1761507744065373400,0.42337353515625,-0.1446843652665615,0.009470131395757198,0.17690668242480606
1761507744075345200,0.43334521484375,-0.13514730611443518,0.005515110159665346,0.17988723260555414
1761507744085317400,0.4433173828125,-0.09139292006194591,-0.0040951603591442105,0.17082568201068787
1761507744095289300,0.453289306640625,-0.009780804780125617,-0.01420461257174611,0.1656382146365009
1761507744105261300,0.46326123046875,0.06344985112547874,-0.04299991442337632,0.1461745124927722
1761507744115233500,0.473233642578125,0.1181459024310112,-0.07049830833226442,0.16620036029759794
1761507744125205200,0.483205322265625,0.1398831024646759,-0.09469166934639214,0.1863518437760882
1761507744135177500,0.493177490234375,0.10727613337039947,-0.1069381335876882,0.16524908745475111
1761507744145149400,0.5031494140625,0.05385433978438377,-0.08235650390833615,0.11579389594476669
1761507744155121400,0.513121337890625,-0.013220716100931167,-0.05180938995331526,0.06949771645497531
1761507744165093400,0.52309326171875,-0.04074409832060337,-0.03775616855099797,0.04821068960791453
1761507744175065300,0.5330654296875,-0.05300502947866916,-0.030286563322693107,0.07040273900330066
1761507744185037300,0.543037353515625,-0.022087328645586966,-0.025343407832086086,0.09734176373006775
1761507744195009500,0.553009521484375,0.010164251139760017,-0.00000526069700717926,0.07546283540446311
1761507744204981200,0.562981201171875,0.020606734699010847,0.02039294581785798,0.06920317222150042
1761507744214953500,0.572953369140625,0.04280453798174858,0.07343114691376686,0.023120489351917056
1761507744224925200,0.58292529296875,0.022946575823426244,0.10519698900878428,-0.04470613381937146
1761507744234897400,0.5928974609375,-0.03255903829932213,0.12694339526221154,-0.10830459963530302
1761507744244869400,0.602869384765625,-0.0669762716859579,0.17545388980060814,-0.2120574907829985
1761507744254841300,0.61284130859375,-0.0883037218749523,0.21955606637746095,-0.32480361652970313
1761507744264813300,0.622813232421875,-0.0979378116607666,0.2518310270383954,-0.40950310336761175
1761507744274785300,0.632785400390625,-0.07644143464565277,0.26203721762374044,-0.43646834024786946
1761507744284757200,0.64275732421875,-0.01775192978978157,0.2546183196693659,-0.41181211096234616
1761507744294729500,0.6527294921875,0.07244330492019653,0.2390773439273238,-0.34019312803708013
1761507744304701400,0.662701416015625,0.15351766006350517,0.21741949274018404,-0.2666105534212664
1761507744314673400,0.67267333984375,0.19861060124337673,0.21410992980077861,-0.2153574091112241
1761507744324645400,0.682645263671875,0.20761866808533666,0.188506409727782,-0.14932084769448264
1761507744334617300,0.692617431640625,0.15389233859479426,0.14616583599597216,-0.07898682654583826
